Country,Year,Trade Value,Trade Percent
Germany,2021,78441398898.00,0.13
France,2021,61574528750.00,0.12
United States,2021,58099727078.00,0.13
Spain,2021,29669237822.00,0.07
United Kingdom,2021,27036462978.00,0.07
Switzerland,2021,26370564798.00,0.08
Belgium,2021,20548453014.00,0.07
China,2021,19146839605.00,0.06
Poland,2021,19060584010.00,0.07
Netherlands,2021,18493056962.00,0.07
Germany,2018,67757510515.00,0.13
France,2018,56187455555.00,0.12
United States,2018,50141706282.00,0.12
United Kingdom,2018,27529192613.00,0.08
Spain,2018,27108487427.00,0.08
Switzerland,2018,23168430221.00,0.08
Poland,2018,15702365683.00,0.06
China,2018,15529352793.00,0.06
Belgium,2018,15156072837.00,0.06
Netherlands,2018,13688155321.00,0.06
Germany,2015,54841990245.00,0.12
France,2015,45959081402.00,0.12
United States,2015,40079230689.00,0.11
United Kingdom,2015,24523864460.00,0.08
Spain,2015,21355700537.00,0.08
Switzerland,2015,19792051638.00,0.08
Belgium,2015,14275162421.00,0.06
Poland,2015,11957329354.00,0.05
China,2015,11640077265.00,0.05
Turkey,2015,11161764168.00,0.05
Germany,2012,61142654489.00,0.12
France,2012,53716797370.00,0.12
United States,2012,34328851433.00,0.09
Switzerland,2012,27683059861.00,0.08
United Kingdom,2012,23825248352.00,0.08
Spain,2012,22789896817.00,0.08
Turkey,2012,13622622298.00,0.05
Belgium,2012,12769348303.00,0.05
Russia,2012,12186565354.00,0.05
Netherlands,2012,11636084336.00,0.05
